Name,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Time,Schedule,Location,City,Location Info,Island,Coordinate,Website,Contact,Phone,Email
Waikele Community Park (People's Open Market),11:30 AM to 12:30 PM,,,,,,,11:30 AM to 12:30 PM,,94-870 Lumiaina Street,Waipahu,,Oahu,"(21.40006058600045, -158.00463924399975)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Waikiki Farmers' Market,,,7:00 AM to 1:00 PM,,,7:00 AM to 1:00 PM,,7:00 AM to 1:00 PM,,,,Waikiki Community Center's Parking Lot,Oahu,"(21.304850435000446, -157.85774940299973)",,,(808) 923-1802,
Waikoloa Village Farmers Market,,,,,,,7:15 AM to 10:00 AM,7:15 AM to 10:00 AM,,68-3625 Paniolo Ave,Waikoloa,Waikoloa Community Church Parking Lot,Hawaii,"(19.942734768000435, -155.79099041899974)",,,,
Waimanalo Beach Park (People's Open Market),,,,,7:15 AM to 8:15 AM,,,7:15 AM to 8:15 AM,,41-741 Kalanianaole Highway,Waimanalo,,Oahu,"(21.329640001000428, -157.69172889999973)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Waimea Town Market at Parker School,,,,,,,7:00 AM to 2:00 PM,7:00 AM to 2:00 PM,,,,Behind Paniolo Country Inn,Hawaii,,,,,
Waipahu District Park (People's Open Market),,,8:15 AM to 9:15 AM,,,,,8:15 AM to 9:15 AM,,94-230 Paiwa Street,Waipahu,,Oahu,"(21.38803075800047, -157.99936985699975)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Ward Center,,,8:00 AM to 1:00 PM,,,,,8:00 AM to 1:00 PM,,,,"Parking lot across from Ward 16 Theatres, Corner of Auahi & Kamakee St.",Oahu,"(21.304850435000446, -157.85774940299973)",www.wardcenters.com,,,
West Kauai Agricultural Association,,8:00 AM,,,,,,8:00 AM,,,Poipu,Poipu Road and Cane Haul Road,Kauai,,,,,
Windward Mall,,,,3:00 PM to 8:00 PM,,,,3:00 PM to 8:00 PM,,46-056 Kamehameha Highway,Kaneohe,fronting Macy's,Oahu,"(21.42064035000044, -157.80338967099974)",www.windwardmall.com/event/farmers-market-every-Wednesday,,,
Makawao Farmers' Market,,,,10:00 AM to 5:00 PM,,,,10:00 AM to 5:00 PM,,3654 Baldwin Avenue,,,,,,,,
