FARMER'S MARKET,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Time,Location 1,Location Info,Island,Website,Contact,Phone,Email
"Kapolei Community Park (People's Open Market)
91-1049 Kamaaha Loop, Kapolei
7:00 AM to 8:30 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",X,,,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Waiau District Park (People's Open Market),,,X,,,,,6:30 AM to 7:30 AM,"Pearl City, HI
(21.393800202000477, -157.96977976199975)","Komo Mai Drive, Pearl City",Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Makeke Kapolei
Kapolei High School
3:00 PM to 6:30 PM
Phone: (808) 697-3599 or 692-8200 ext. 2267",,,,,X,,,,,,,,,,
"Makawao Farmers' Market
3654 Baldwin Avenue
10:00 AM - 5:00 PM",,,,X,,,,,,,,,,,
Wahiawa District Park (People's Open Market),,,X,,,,,10:00 AM to 11:00 AM,"HI
(21.304850435000446, -157.85774940299973)",N. Cane & California Avenue,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Kahaluu Farmers' Market 
Windward Baptist Church at 47-528A Kamehameha Hwy.
(Across from 7-11)  3:00 PM to 7:00 PM
Contact Sonny Doung   Phone: (808) 225-4002
Email: sonnydoung@hotmail.com  www.mahikufarmersmarket.com",,,,,,X,,,,,,,,,
"Kalaheo Neighborhood Center (Sunshine Markets)
Papalina Road off Kaumualii, Kalaheo
3:00 PM
Matilda Adams at the site",,,X,,,,,,,,,,,,
Alii Garden Market Place,X,,,X,X,X,X,9:00 AM to 5:00 PM,"75-6129 Alii Drive
Kailua-Kona
(19.61399064100044, -155.98165889099974)",,Hawaii,,,(808) 334-1381,
Mililani District Park (People's Open Market),,,X,,,,,11:45 AM to 12:30 PM,"94-1150 Lanikuhana Avenue
Mililani, HI
(21.440746715000444, -158.01797200199974)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Merchant Street Market
841 Bishop Street, Honolulu
2nd and 4th Tuesday of each month 10AM - 1PM
Phone: (808) 545-4477
dpcinfo@isleconcierge.com",,,X,,,,,,,,,,,,
"Waipahu District Park (People's Open Market)
94-230 Paiwa Street, Waipahu
8:15 AM to 9:15 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,X,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Windward Mall,,,,X,,,,3:00 PM to 8:00 PM,"46-056 Kamehameha Highway
Kaneohe, HI
(21.42064035000044, -157.80338967099974)",fronting Macy's,Oahu,http://www.windwardmall.com/event/farmers-market-every-Wednesday,,,
,Sun,Mon,Tues,Wed,Thurs,Fri,Sat,,,,,,,,
Ala Moana Farmers' Market,,,,,,,X,9:00 AM to 1:00 PM,"1450 Ala Moana Blvd.
Honolulu, HI
(21.28928015800045, -157.84219969299974)","Ala Moana Center, upper deck by Sears, corner of Piikoi & Ala Moana Blvd.",Oahu,http://alamoanafarmersmarket.com/ala-moana.html,,"808-388-9696
",AlaMoanaFarmersMarket@gmail.com
Kailua Elementary School,,,,,,,X,4:00 PM to 8:00 PM,"315 Kuulei Road, HI",,Oahu,http://www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
"Ewa Beach Elementary School
91-740 Papipi Road, Ewa Beach
9:00 AM to 1:00 PM
Contact Sonny Doung   Phone: (808) 225-4002
Email: sonnydoung@hotmail.com  www.mahikufarmersmarket.com",X,,,,,,,,,,,,,,
Ono Organic Farms Farmers' Market in Hana,X,X,X,X,X,X,X,10:00 AM to 6:00 PM,"149 Hana Highway
Hana, HI 96713
(20.80699101600044, -156.09087728399973)","Old gas station, Hasegawa General Store - Hana Hwy.",Maui,,,(808) 248-7779,
"Akebono Farmers’ Market
Akebono Parking Lot, Pahoa
7:00 AM to 2:00 PM
Vinton:  Phone: (808) 965-9205",X,,,,,,,,,,,,,,
Akebono Farmers’ Market,X,,,,,,,7:00 AM to 2:00 PM,"Pahoa, HI
(19.49469006600043, -154.94809898999975)",Akebono Parking Lot,Hawaii,,Vinton,(808) 965-9205,
Hanalei Saturday Market,,,,,,,X,9 AM  - 1:30 PM,"Hanalei
(22.201686187000462, -159.50311687099975)",,Kauai,http://www.halehalawai.org/market.htm,Stephanie Struble,(808) 826-1011,
"Nuuanu Farmers Market 
Honolulu Central Seventh Day Adventist Church
2313 Nuuanu Avenue, Honolulu
4:00 PM to 7:00 PM
Phone:  (808) 282-2276
Email: nuuanumarket@gmail.com",,,X,,,,,,,,,,,,
"The Saturday Farmers' Market at Kapiolani Community College Campus
4303 Diamond Head Road, Honolulu
7:30 AM to 11:00 AM
Phone: (808) 848-2074
www.hfbf.org ",,,,,,,X,,,,,,,,
Waialua Farmers' Market,,,,,,,X,8:30 AM to 12:00 Noon,"HI
(21.304850435000446, -157.85774940299973)",Waialua Sugar Mill,Oahu,,Edith Ramiscal,,info@sugarmillhawaii.com
"Upcountry Farmers' Market
(formerly at Eddie Tam Community Center)
Pukalani Longs Drugs at Kulamalu
7:00 AM - 12:00 NOON",,,,,,,X,,,,,,,,
"Kona Farmers’ Market
74-5465 Kamakaeha Avenue
Makapua Center - In front of K-Mart, Kailua-Kona
7:00AM to 5:00PM
Bob Gagne: (808) 333-2478
Email: gagner001@hawaii.rr.com",X,,,,X,X,X,,,,,,,,
"Hanalei Saturday Market
Hanalei
9 AM  - 1:30 PM
Stephanie Struble,  Phone (808) 826-1011
PO Box 822, Hanalei, HI
www.halehalawai.org/market.htm",,,,,,,X,,,,,,,,
"Panaewa Hawaiian Home Lands Farmers’ Market
Corner of Puainako and Ohuohu., On the sidewalk of Hilo WalMart",X,X,X,X,X,X,X,8:00 AM to 5:00 PM,,,Hawaii,,Jerry,(808) 959-0488,
Dole Cannery,,,,,,X,,10:00 AM to 5:00 PM,"650 Iwilei Road
Honolulu, HI
(21.316240109000432, -157.87050896699975)",,Oahu,,Doreen Rozemond,,drozemond@castlecooke.com
"Kalihi Valley District Park (People's Open Market)
1911 Kam IV Road, Honolulu
10:00 AM to 10:45 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",,,,,,,X,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
"Maku’u Farmer’s Market
Highway 130, between Keaau and Pahoa
6:00 AM to 1:30 PM
Phone: (808) 965-1441, (808) 896-5537, (Cell) (808) 217-2307
Email: kekahuna@localnet.com",X,,X,X,X,,,,,,,,,,
"Kapaa New Town Park (Sunshine Markets)
Kahau Road, Kapaa
3 PM
Nancy Blalock, Phone: (808) 822-5887",,,,X,,,,,,,,,,,
Manoa Marketplace,X,,X,,X,,,7:00 AM to 11:00 AM,"2752 Woodlawn Drive
Honolulu, HI 96822
(21.307510418000447, -157.80973989899974)",,Oahu,,,(808) 847-0494 Cell: (808) 554-4667,
Maui Swap Meet at Maui Community College ,,,,,,,X,6:00 AM to 1:00 PM,"310 Ka'ahumanu Avenue
Kahului, HI 96732
(20.88888047000046, -156.47681997699974)",Maui Community College (lot nearest to Kahului Beach Road),Maui,,,(808) 877-3100,
City Hall Parking Lot Deck (People's Open Market),,X,,,,,,11:45 AM to 12:30 PM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",Alapai & Beretania Street,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Maku’u Farmer’s Market
Highway 130, between Keaau and Pahoa",X,,X,X,X,,,6:00 AM to 1:30 PM,,,Hawaii,,,"(808) 965-1441, (808) 896-5537, (Cell) (808) 217-2307",kekahuna@localnet.com
"Waiau District Park (People's Open Market)
Komo Mai Drive, Pearl City
6:30 AM to 7:30 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,X,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Koloa Ball Park (Knudsen) (Sunshine Markets),,X,,,,,,Noon,Maluhia Road,,Kauai,,Branch Harmony,(808) 322-0718,
Farmers' Market of Maui-Kihei ,,X,X,X,X,X,,8:00 AM to 4:00 PM,"61 South Kihei Road
Kihei, HI 96753-8801
(20.781950970000423, -156.46301909199974)",Located in Suda Store parking lot on South Kihei Road,Maui,,,(808) 875-0949,
"Keaau Village Farmers’ Market
16-0550 Old Volcano Road

Phone: ",,,X,X,X,X,X,7:00 AM to 5:00 PM,,,Hawaii,,,(808) 966-4853,
"Kukui Grove Shopping Center
Lihue
3 PM",,X,,,,,,,,,,,,,
Hawaii Kai Park-n-Ride (People's Open Market),,,,,,,X,1:00 PM to 2:00 PM,"300 Keahole Street, Honolulu
Honolulu, HI
(21.284702499000446, -157.71043000699973)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Maui Swap Meet
Maui Community College on Ka'ahumanu Avenue (lot nearest to Kahului Beach Road)
6:00 AM to 1:00 PM
Phone: (808) 244-3100",,,,,,,X,,,,,,,,
"Ka’u Farmers’ Market
In Front of Ace Hardware, Ka’u
7:00 AM to 12:00 PM
Dennis & Marge: (808) 929-7239
dewell@hawaii.rr.com ",,,,X,,,X,,,,,,,,
"Kaumualii Street (People's Open Market)
Kalihi Street, Honolulu
8:15 AM to 9:30 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",,,,,,,X,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
"Hawaii Kai Park-n-Ride (People's Open Market)
300 Keahole Street, Honolulu
1:00 PM to 2:00 PM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",,,,,,,X,,,,,,,,
Hawaii Kai Towne Center,,X,,X,,,X,7:30 AM to 3:00 PM,"333 Keahole Street
Honolulu, HI 96825
(21.28424007500047, -157.71158963799974)",behind Panda Express,Oahu,,,(808) 396-0766,
Queen Kapiolani Park (People's Open Market),,,,X,,,,10:00 AM to 11:00 AM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",Monsarrat and Paki Street,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Makiki District Park (People's Open Market)
1527 Keeaumoku Street, Honolulu
8:30 AM to 9:30 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,X,,,,,,,,,,,,,
"Hilo’s Farmer’s Market
Corner of Kamehameha Avenue and Mamo Street
6:00 AM to 4:00 PM
Keith:  Phone: (808) 933-1000
www.hilofarmersmarket.com ",,,,X,,,X,,,,,,,,
"Hawaiian Farmers of Hanalei
Waipa, Hanalei",,,X,,,,,2:00 PM,,,Kauai,,,,
Hawaii Kai Farmers' Market at Kaiser High School,,,,,,,X,9:00 AM - 1:00 PM,"511 Lunalilo Home Road
Honolulu, HI
(21.286071053000455, -157.69769887499973)",Kaiser High School parking lot,Oahu,http://www.makekeomaunalua.com,,(808) 388-9696,
Mahiku Farmers' Market at International Market Place-Waikiki,,,,,X,,,4:00 PM - 8:00 PM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",International Market Place-Waikiki (near the Food Court),Oahu,http://www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
"The South Kona Green Market
Amy Greenwell Ethnobotanical Garden field in Captain Cook
9:00 AM to 2:00 PM
Esta Feedora: Phone: (808) 328-2400
www.skgm.org",X,,,,,,X,,,,,,,,
"Palolo Valley District Park (People's Open Market)
2007 Palolo Avenue, Honolulu
6:30 AM to 7:30 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,,X,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
City Hall Parking Lot Deck (People's Open Market),,X,,,,,,11:45 AM to 12:30 PM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",Alapai & Beretania Street,www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,,
"Lipoa Street Farmers' Market
Liipoa Street in Kihei
8:00 AM - 12:00 NOON",,,,,,,X,,,,,,,,
Volcano Farmers’ Market,X,,,,,,,7:00 AM to 9:00 AM,"1000 Wright Road
Cooper Center, Volcano",,Hawaii,,Betsy Mitchell,(808) 967-7209,
"Honokaa Farmer’s Market at Old Botelho Bldg., Downtown Honokaa
",,,,,,,X,7:30 AM to 2:00 PM,,,Hawaii,,,,
"OAHU FARMER'S MARKETS
Updated 5/22/2012",,,,,,,,,,,,,,,
"Royal Kunia Park-n-Ride (People's Open Market)
Kupuna Lp / Kupohi Street, Waipahu
9:30 AM to 11:00 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",X,,,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
"Volcano Farmers’ Market
1000 Wright Road, Cooper Center, Volcano
7:00 AM to 9:00 AM
Betsy Mitchell:  Phone: (808) 967-7209",X,,,,,,,,,,,,,,
Molokai Saturday Market,,,,,,,X,7:00 AM - 12 NOON,"40 Ala Malama Street
Kaunakakai, HI 96748
(21.09017112200047, -157.02199661599974)","Ala Malama Street at the Thomas Trade Building, located between Bank of Hawai‘i and American Savings Bank.",Molokai,,,,
Waikoloa Village Farmers Market,,,,,,,X,7:15 AM to 10:00 AM,"68-3625 Paniolo Ave.
Waikoloa
(19.942734768000435, -155.79099041899974)",Waikoloa Community Church Parking Lot,Hawaii,,,,
Ewa Beach Community Park (People's Open Market),,,,,,X,,9:00 AM to 10:00 AM,"91-955 North Road
Ewa Beach
(21.31354031200044, -158.00906976999974)",,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Kalaheo Neighborhood Center (Sunshine Markets),,,X,,,,,3:00 PM,"Papalina Road
Kalaheo
(21.90751165800043, -159.51190744899975)","Papalina Road off Kaumualii, Kalaheo",Kauai,,Matilda Adams at the site,,
"Alii Garden Market Place
75-6129 Alii Drive, Kailua-Kona
9:00 AM to 5:00 PM
Phone: (808) 334-1381",X,,,X,X,X,X,,,,,,,,
Fort Street near Wilcox Park,,,X,,,X,,8:00 AM to 2:00 PM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",In front of Macy's,Oahu,http://www.local-farmers-markets.com/market/1162/honolulu/fort-street-near-wilcox-park,Lori Zane,(808) 777-9216,
Waipahu District Park (People's Open Market),,,X,,,,,8:15 AM to 9:15 AM,"94-230 Paiwa Stree
Waipahu, HI
(21.38803075800047, -157.99936985699975)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Kilauea Neighborhood Center (Sunshine Markets),,,,,X,,,4:30 PM,,Keneke off Lighthouse Road,Kauai,,Ben Ferris,(808) 822-1712,
"Mamo Street Market
Mamo Parking Lot, Hilo
8:00 AM to 5:00 PM",X,X,X,X,X,X,X,,,,,,,,
The Saturday Farmers' Market at Kapiolani Community College Campus,,,,,,,X,7:30 AM to 11:00 AM,"4303 Diamond Head Road
Honolulu, HI 96816
(21.26960032800048, -157.80306933599974)",,Oahu,http://www.hfbf.org,,(808) 848-2074,
Waianae Farmers' Market (sponsored by Waianae Coast Comprehensive Center),,,,,,,X,8:30 AM to 11:30 AM,"85-251 Farrington Highway
Waianae, HI
(21.455940520000468, -158.19946945199973)","Waianae High School, Cafeteria Lanai",Oahu,http://www.waianaefarmersmarket.org,Desiree,(808) 388-7386,waianaefarmersmarket@wcchc.com
"South Kona Fruit Stand
Near the old Higashi Store, between mile marker 103 &104
84-4770 Mamalahoa Hwy, Captain Cook

Beth:  Phone: (808) 328-8547",X,X,X,X,X,X,X,9:00 AM to 6:00 PM,,,Hawaii,,,,
Kaka'ako Makai Community Cultural Marketplace,,,,,,,X,9:00 AM - 2:00 PM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",one block makai of Ala Moana Blvd. & Ward Ave. corner Ilalo & Ahui Sts. ,Oahu,http://www.KakaakoMakaiMarket.com,, (808) 330-6224,
"Manoa Valley District Park (People's Open Market)
2721 Kaaipu Avenue, Honolulu
6:45 AM to 7:45 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,X,,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Fern Forest Town Market,,,,,,,X*,9:00 AM to 1:00 PM,,,Hawaii,,Jan,(808) 968-8631,
"Waianae Farmers' Market (sponsored by Waianae Coast Comprehensive Center)
Waianae High School, Cafeteria Lanai
85-251 Farrington Highway, Waianae
8:30 AM to 11:30 AM
Phone: Desiree at (808) 388-7386
www.waianaefarmersmarket.org
Email:  waianaefarmersmarket@wcchc.com
www.facebook.com/#!/pages/WAIANAE-FARMERS-MARKET/234161083106",,,,,,,X,,,,,,,,
"Farmers' Market of Maui-Honokowai
Location at Hawaiian Motors parking lot (across from Honokowai Park)
7:00 AM to 11:00 AM
Contact: (808) 669-7004",,X,,X,,X,,,,,,,,,
Dole Cannery,,,,,,X,,10:00 AM to 5:00 PM,650 Iwilei Road,,,,,drozemond@castlecooke.com,
Nuuanu Farmers Market at Honolulu Central Seventh Day Adventist Church,,,X,,,,,4:00 PM to 7:00 PM,"2313 Nuuanu Avenue
Honolulu, HI
(21.326480443000435, -157.84731928399975)",,Oahu,,,(808) 282-2276,nuuanumarket@gmail.com
"Kaka'ako Makai Community Cultural Marketplace
one block makai of Ala Moana Blvd. & Ward Ave. 
corner Ilalo & Ahui Sts. 
Friday: 4:30 PM - 8:00 PM; Saturday: 9:00 AM - 2:00 PM
Phone:  (808) 330-6224
www.KakaakoMakaiMarket.com",,,,,,X,X,,,,,,,,
"Waikiki Farmers' Market
Waikiki Community Center's Parking Lot
7:00 AM to 1:00 PM 
Phone: (808) 923-1802",,,X,,,X,,,,,,,,,
"Kinoole Farmer's Market
1990 Kinoole Street, Hilo
7:00 AM to 12 Noon
Lori: Phone (808) 557-2780
Email: bifb@hawaiiantel.net",,,,,,,X,,,,,,,,
"Laupahoehoe Farmers' Market
Laupahoehoe - next to the Minit Stop on Hwy. 19",X,,,,,,,9:00AM to 1:00PM,,,Hawaii,,Beth Fulton,(808) 443-1679,bethflo@hotmail.com
Royal Kunia Park-n-Ride (People's Open Market),X,,,,,,,9:30 AM to 11:00 AM,"Waipahu, HI
(21.385861307000425, -158.00350991899975)",Kupuna Lp / Kupohi Stree,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Maui Open Market, Maui Tropical Plantation",,,X,X,X,X,X,10:00 AM -4:00 PM,"1670 HONOAPIILANI HWY
Wailuku, HI 96793
(20.85027094500043, -156.50449895199975)",,Maui,,,808-244-7643,
"Kauai Community Market (Kauai Community College)
Campus front parking lot across from Grove Farm
10 AM - 1 PM  
Melissa McFerrin at kcfb@hawaiiantel.net; Phone: (808) 337-9944",,,,,,,X,,,,,,,,
,Sun,Mon,Tues,Wed,Thurs,Fri,Sat,,,,,,,,
Kaka'ako Makai Community Cultural Marketplace,,,,,,X,,4:30 PM - 8:00 PM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",one block makai of Ala Moana Blvd. & Ward Ave. corner Ilalo & Ahui Sts. ,Oahu,http://www.KakaakoMakaiMarket.com,, (808) 330-6224,
"International Market Place (Next to the Food Court)
2330 Kalakaua Avenue, Honolulu
4:00 PM to 8:00 PM
Contact Sonny Doung   Phone: (808) 225-4002
Email: sonnydoung@hotmail.com  www.mahikufarmersmarket.com",,,,,X,,,,,,,,,,
"North Shore Country Market
Sunset Beach Elementary School, Haleiwa
8:00 AM to 2:00 PM
Phone: (808) 237-8248
www.northshorecountrymarket.com 
www.sunsetcountrymarket.org ",,,,,,,X,,,,,,,,
Palolo Valley District Park (People's Open Market),,,,X,,,,6:30 AM to 7:30 AM,"2007 Palolo Avenue
Honolulu, HI 96816
(21.30061055100043, -157.79599893199975)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"The Mililani Sunday Farmers' Market at Mililani High School
95-1200 Meheula Parkway, Mililani High School Parking Lot
8:00 AM to 12:00 NOON
Phone: (808) 848-2074
www.hfbf.org",X,,,,,,,,,,,,,,
"Fort Street near Wilcox Park
Honolulu (In front of Macy's)
8:00 AM to 2:00 PM
Lori Zane; Phone: (808) 777-9216
www.local-farmers-markets.com/market/1162/honolulu/fort-street-near-wilcox-park",,,X,,,X,,,,,,,,,
Banyan Court Mall (People's Open Market),,,,,,,X,6:15 AM to 7:30 AM,"800 North King Street
Honolulu, HI
(21.302690421000477, -157.85208973299973)",,www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,,
Waimanalo Beach Park (People's Open Market),,,,,X,,,7:15 AM to 8:15 AM,"41-741 Kalanianaole Highway
Waimanalo, HI
(21.329640001000428, -157.69172889999973)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"King's Village Shopping Center
131 Kaiulani Ave., Honolulu
4:00 PM to 9:00 PM
Phone: (808) 237-6340
www.kings-village.com",,,,,,X,,,,,,,,,
